   Group35Tau1 -0.007 -0.002  0.004  0.005
 Group36Shift1  0.002  0.002 -0.004  0.001
 Group36Shift2 -0.008  0.002  0.004  0.001
   Group36Tau1 -0.003  0.000  0.002  0.000
 Group37Shift1  0.005  0.002 -0.004 -0.002
 Group37Shift2 -0.002  0.001  0.001 -0.001
   Group37Tau1 -0.001  0.000  0.001 -0.000
 Group38Shift1  0.003  0.001 -0.004  0.001
 Group38Shift2 -0.001  0.001  0.001 -0.000
   Group38Tau1 -0.001  0.000  0.000  0.001
 Group39Shift1  0.001  0.001 -0.003  0.002
 Group39Shift2 -0.002  0.001  0.001  0.000
   Group39Tau1 -0.000 -0.000  0.000  0.000
 Group40Shift1  0.003  0.003 -0.006 -0.001
 Group40Shift2 -0.002 -0.003  0.002  0.004
   Group40Tau1  0.000  0.001 -0.000 -0.001
 Group41Shift1  0.004  0.004 -0.008  0.001
 Group41Shift2 -0.002  0.006 -0.005  0.002
   Group41Tau1 -0.001  0.002 -0.002  0.001
 Group42Shift1  0.004  0.001 -0.004 -0.001
 Group42Shift2 -0.002  0.001  0.002  0.001
   Group42Tau1 -0.000 -0.001  0.001  0.000
 Group43Shift1  0.003  0.001 -0.004  0.001
 Group43Shift2 -0.002  0.001  0.001  0.001
   Group43Tau1 -0.001 -0.000  0.000  0.001
 Group44Shift1 -0.000  0.001 -0.003  0.003
 Group44Shift2 -0.002  0.001  0.001  0.000
   Group44Tau1 -0.001 -0.000  0.001  0.001
 Group45Shift1  0.004  0.002 -0.005 -0.000
 Group45Shift2 -0.006 -0.000  0.004  0.003
   Group45Tau1  0.001  0.000 -0.001 -0.001
 Group46Shift1  0.004  0.009 -0.010 -0.003
 Group46Shift2 -0.002  0.012 -0.005 -0.006
   Group46Tau1 -0.000  0.003 -0.002 -0.002
 Group47Shift1  0.005  0.003 -0.005 -0.002
 Group47Shift2 -0.003  0.001  0.001  0.000
   Group47Tau1 -0.000  0.000  0.000 -0.000
 Group48Shift1  0.001  0.002 -0.005  0.000
 Group48Shift2 -0.003  0.001  0.001  0.000
   Group48Tau1 -0.001  0.000  0.000  0.000
 Group49Shift1 -0.001  0.001 -0.002  0.001
 Group49Shift2 -0.003  0.000  0.001  0.001
   Group49Tau1 -0.001 -0.000  0.001  0.000
 Group50Shift1  0.005 -0.001 -0.006  0.003
 Group50Shift2 -0.005  0.004  0.004 -0.002
   Group50Tau1  0.001 -0.001 -0.001  0.001
 Group51Shift1  0.016  0.002 -0.006 -0.011
 Group51Shift2  0.008  0.005 -0.000 -0.012
   Group51Tau1  0.003 -0.000  0.000 -0.003
 Group52Shift1 -0.001 -0.002 -0.004  0.007
 Group52Shift2 -0.005  0.001  0.002  0.002
   Group52Tau1 -0.002 -0.001  0.001  0.002
 Group53Shift1  0.002  0.002 -0.004 -0.002
 Group53Shift2 -0.004  0.001  0.002  0.001
   Group53Tau1 -0.000  0.000  0.001 -0.000
 Group54Shift1  0.008  0.003 -0.006 -0.004
 Group54Shift2 -0.005  0.001  0.003  0.001
   Group54Tau1  0.001  0.000 -0.000 -0.001
 Group55Shift1 -0.000 -0.000 -0.004  0.005
 Group55Shift2 -0.002  0.001  0.001 -0.002
   Group55Tau1 -0.001 -0.000  0.000  0.001
 Group56Shift1  0.024 -0.016 -0.016  0.008
 Group56Shift2  0.023 -0.007 -0.010 -0.007
   Group56Tau1  0.006 -0.005 -0.003  0.002
 Group57Shift1 -0.015  0.007  0.003  0.004
 Group57Shift2 -0.002  0.005  0.002 -0.006
   Group57Tau1 -0.005  0.002  0.002  0.001
 Group58Shift1  0.016  0.003 -0.006 -0.014
 Group58Shift2  0.001  0.003  0.000 -0.005
   Group58Tau1  0.003  0.000 -0.000 -0.004
 Group59Shift1 -0.001 -0.003  0.000  0.004
 Group59Shift2 -0.001  0.004 -0.000 -0.001
   Group59Tau1 -0.001 -0.001  0.001  0.001
 Group60Shift1 -0.017 -0.009  0.004  0.022
 Group60Shift2  0.017  0.011 -0.006 -0.022
   Group60Tau1 -0.007 -0.003  0.003  0.007
